vname,frame_no,flux_r,flux_g,flux_b,area_r,area_g,area_b,r0,g0,b0,r1,g1,b1,r2,g2,b2,r3,g3,b3,r4,g4,b4,r5,g5,b5,r6,g6,b6,r7,g7,b7,r8,g8,b8,r9,g9,b9,r10,g10,b10,r_seq,g_seq,b_seq
auroramaxHD_20180421_480p.mp4,49,774898.0,1438103.0,13157114.0,8867,14059,144869,28,42,91,33,50,88,31,41,83,35,44,82,50,57,85,53,61,89,101,103,99,81,85,93,58,65,83,44,53,81,34,42,79,[ 28  33  31  35  50  53 101  81  58  44  34],[ 42  50  41  44  57  61 103  85  65  53  42],[91 88 83 82 85 89 99 93 83 81 79]
auroramaxHD_20180421_480p.mp4,50,828926.0,1440792.0,13169318.0,9041,14182,145066,27,42,91,32,50,88,30,40,83,31,42,82,51,58,85,54,61,89,101,103,98,81,84,91,60,66,84,44,54,81,32,42,79,[ 27  32  30  31  51  54 101  81  60  44  32],[ 42  50  40  42  58  61 103  84  66  54  42],[91 88 83 82 85 89 98 91 84 81 79]
auroramaxHD_20180421_480p.mp4,51,873591.0,1509106.0,13008312.0,9652,14811,144307,27,42,90,32,49,88,30,39,83,30,42,81,51,58,85,54,60,89,105,106,96,80,84,90,59,66,84,43,54,81,34,42,78,[ 27  32  30  30  51  54 105  80  59  43  34],[ 42  49  39  42  58  60 106  84  66  54  42],[90 88 83 81 85 89 96 90 84 81 78]
auroramaxHD_20180421_480p.mp4,52,769399.0,1495854.0,12975069.0,8685,14716,144449,27,41,89,32,47,87,30,39,83,29,39,82,52,59,85,56,63,89,105,107,98,75,83,89,59,67,83,43,53,81,32,41,79,[ 27  32  30  29  52  56 105  75  59  43  32],[ 41  47  39  39  59  63 107  83  67  53  41],[89 87 83 82 85 89 98 89 83 81 79]
auroramaxHD_20180421_480p.mp4,53,706288.0,1354277.0,12984796.0,7988,13605,145426,27,40,89,31,46,87,29,38,82,29,40,81,53,61,84,56,62,88,103,106,97,75,83,88,59,66,82,43,53,80,33,41,77,[ 27  31  29  29  53  56 103  75  59  43  33],[ 40  46  38  40  61  62 106  83  66  53  41],[89 87 82 81 84 88 97 88 82 80 77]
auroramaxHD_20180421_480p.mp4,54,709191.0,1315012.0,12992237.0,8200,12806,146219,27,41,89,32,45,87,29,39,82,29,39,80,52,59,83,56,60,88,101,105,94,75,82,86,59,66,83,43,52,79,33,41,77,[ 27  32  29  29  52  56 101  75  59  43  33],[ 41  45  39  39  59  60 105  82  66  52  41],[89 87 82 80 83 88 94 86 83 79 77]
auroramaxHD_20180421_480p.mp4,55,794502.0,1143549.0,12985445.0,9056,11072,146892,26,40,89,31,44,87,28,39,82,28,37,80,50,58,82,54,59,88,99,102,95,76,79,86,60,67,81,42,50,79,32,41,77,[26 31 28 28 50 54 99 76 60 42 32],[ 40  44  39  37  58  59 102  79  67  50  41],[89 87 82 80 82 88 95 86 81 79 77]
auroramaxHD_20180421_480p.mp4,56,761445.0,1218860.0,12909903.0,8577,11727,147191,26,40,88,30,42,86,29,38,80,28,37,79,48,56,81,53,58,86,99,103,96,74,80,85,59,67,80,40,49,78,32,40,76,[26 30 29 28 48 53 99 74 59 40 32],[ 40  42  38  37  56  58 103  80  67  49  40],[88 86 80 79 81 86 96 85 80 78 76]
auroramaxHD_20180421_480p.mp4,57,747881.0,1149665.0,12913056.0,8347,11167,147807,26,40,88,28,42,86,26,38,80,26,38,79,47,55,81,52,57,86,100,103,95,72,79,84,58,66,80,38,48,77,31,41,76,[ 26  28  26  26  47  52 100  72  58  38  31],[ 40  42  38  38  55  57 103  79  66  48  41],[88 86 80 79 81 86 95 84 80 77 76]
auroramaxHD_20180421_480p.mp4,58,680646.0,1196500.0,12812769.0,7134,11827,148199,26,40,88,28,42,86,26,39,79,27,37,78,46,55,81,50,57,84,100,103,95,73,80,83,57,65,79,37,48,77,30,40,76,[ 26  28  26  27  46  50 100  73  57  37  30],[ 40  42  39  37  55  57 103  80  65  48  40],[88 86 79 78 81 84 95 83 79 77 76]
